,index,Industry,Y,assets,bea_ind_code,delta,eatr_d,eatr_e,eatr_mix,major_industry,metr_d,metr_e,metr_mix,mettr_d,mettr_e,mettr_mix,rho_d,rho_e,rho_mix,tax_treat,tax_wedge_d,tax_wedge_e,tax_wedge_mix,ucc_d,ucc_e,ucc_mix,z_d,z_e,z_mix
0,0,Accommodation,66.19342,251468621610.90228,7210,0.02163,0.13655,0.20638,0.18399,Accommodation and food services,-0.10104,0.20002,0.12923,0.15788,0.27314,0.24597,0.04723,0.07250,0.06440,corporate,0.00746,0.01980,0.01584,0.06886,0.09413,0.08603,0.25323,0.21088,0.22262
1,1,Food services and drinking places,44.78708,170870560831.60550,7220,0.05189,0.12681,0.19153,0.17077,Accommodation and food services,-0.16173,0.15627,0.08150,0.11147,0.23339,0.20464,0.04476,0.06874,0.06106,corporate,0.00499,0.01604,0.01249,0.09665,0.12063,0.11295,0.48560,0.44407,0.45559
2,2,Administrative and support services,21.90018,106492097790.52309,5610,0.14921,0.11293,0.17044,0.15200,Administrative and waste management services,-0.26063,0.08520,0.00399,0.03583,0.16882,0.13752,0.04125,0.06340,0.05630,corporate,0.00148,0.01070,0.00774,0.19046,0.21261,0.20551,0.75976,0.73336,0.74068
3,3,Waste management and remediation services,30.79958,69464866307.19232,5620,0.04823,0.11034,0.16644,0.14847,Administrative and waste management services,-0.28107,0.07035,-0.01209,0.02019,0.15533,0.12359,0.04059,0.06239,0.05541,corporate,0.00082,0.00969,0.00685,0.08882,0.11062,0.10364,0.77151,0.75868,0.76224
4,4,Farms,56.63261,359601192716.54291,110C,0.03762,0.12049,0.18106,0.16168,"Agriculture, forestry, fishing, and hunting",-0.20476,0.12243,0.04553,0.07856,0.20264,0.17349,0.04316,0.06609,0.05876,corporate,0.00339,0.01339,0.01019,0.08078,0.10371,0.09637,0.50322,0.50322,0.50322
5,5,"Forestry, fishing, and related activities",58.69871,34352705962.83144,113F,0.04638,0.12369,0.18690,0.16666,"Agriculture, forestry, fishing, and hunting",-0.18255,0.14162,0.06558,0.09554,0.22008,0.19085,0.04397,0.06757,0.06002,corporate,0.00420,0.01487,0.01145,0.09035,0.11395,0.10640,0.42324,0.41370,0.41634
6,6,"Performing arts, spectator sports, museums, and related activities",26.45100,79922779339.33067,711A,0.07496,0.11230,0.16969,0.15129,"Arts, entertainment, and recreation",-0.26555,0.08245,0.00079,0.03206,0.16632,0.13474,0.04109,0.06321,0.05612,corporate,0.00132,0.01051,0.00756,0.11605,0.13817,0.13108,0.75428,0.72980,0.73659
7,7,"Amusements, gambling, and recreation industries",36.30666,103100531850.12755,7130,0.04042,0.11583,0.17485,0.15595,"Arts, entertainment, and recreation",-0.23861,0.10105,0.02136,0.05267,0.18322,0.15255,0.04198,0.06452,0.05730,corporate,0.00221,0.01182,0.00874,0.08240,0.10494,0.09772,0.64523,0.62993,0.63417
8,8,Construction,50.93484,167674309864.19751,2300,0.06772,0.12179,0.18337,0.16366,Construction,-0.19563,0.13012,0.05358,0.08554,0.20963,0.18045,0.04349,0.06668,0.05925,corporate,0.00372,0.01398,0.01069,0.11122,0.13440,0.12698,0.50021,0.48986,0.49273
9,9,Educational services,34.22480,321852335173.16290,6100,0.04393,0.12800,0.19462,0.17319,Educational services,-0.15394,0.16576,0.09063,0.11743,0.24202,0.21254,0.04506,0.06952,0.06167,corporate,0.00529,0.01683,0.01311,0.08900,0.11346,0.10560,0.51031,0.43513,0.45598
10,10,Credit intermediation and related activities,22.91675,742471769336.48633,5220,0.11423,0.11696,0.17659,0.15746,Finance and insurance,-0.23022,0.10715,0.02786,0.05908,0.18876,0.15819,0.04227,0.06496,0.05769,corporate,0.00250,0.01226,0.00913,0.15649,0.17919,0.17191,0.71724,0.67708,0.68822
11,11,"Securities, commodity contracts, and investments",54.61699,117288646632.75099,5230,0.05913,0.13023,0.19681,0.17546,Finance and insurance,-0.13964,0.17236,0.09902,0.12836,0.24801,0.21980,0.04563,0.07008,0.06224,corporate,0.00586,0.01738,0.01368,0.10476,0.12921,0.12138,0.38446,0.34588,0.35658
12,12,Insurance carriers and related activities,29.98132,242704259871.50098,5240,0.11475,0.12397,0.18724,0.16693,Finance and insurance,-0.18066,0.14271,0.06663,0.09699,0.22107,0.19176,0.04404,0.06766,0.06008,corporate,0.00427,0.01496,0.01152,0.15879,0.18240,0.17483,0.60457,0.55064,0.56559
13,13,"Funds, trusts, and other financial vehicles",54.39351,34266597921.94995,5250,0.02110,0.13665,0.20686,0.18432,Finance and insurance,-0.10043,0.20135,0.13034,0.15835,0.27435,0.24693,0.04725,0.07262,0.06448,corporate,0.00748,0.01992,0.01592,0.06835,0.09372,0.08558,0.32142,0.25642,0.27444
14,14,Ambulatory health care services,27.21407,187676386626.35760,6210,0.07631,0.12060,0.18244,0.16259,Health care and social assistance,-0.20397,0.12703,0.04923,0.07916,0.20683,0.17669,0.04319,0.06644,0.05898,corporate,0.00342,0.01374,0.01042,0.11950,0.14275,0.13530,0.65052,0.60004,0.61404
15,15,Hospitals,33.81604,476870682069.54419,622H,0.05038,0.12534,0.19042,0.16950,Health care and social assistance,-0.17142,0.15281,0.07664,0.10405,0.23025,0.20043,0.04439,0.06846,0.06073,corporate,0.00462,0.01576,0.01217,0.09477,0.11884,0.11111,0.54272,0.47799,0.49594
16,16,Nursing and residential care facilities,30.33509,45367688456.12007,6230,0.04907,0.12503,0.18968,0.16890,Health care and social assistance,-0.17349,0.15048,0.07432,0.10247,0.22813,0.19842,0.04431,0.06827,0.06058,corporate,0.00454,0.01558,0.01202,0.09338,0.11734,0.10965,0.57605,0.50939,0.52788
17,17,Social assistance,34.19701,32821172821.68540,6240,0.05176,0.12490,0.18906,0.16846,Health care and social assistance,-0.17436,0.14852,0.07260,0.10181,0.22635,0.19693,0.04428,0.06812,0.06047,corporate,0.00451,0.01542,0.01191,0.09604,0.11988,0.11223,0.56209,0.50631,0.52178
18,18,Publishing industries (including software),25.89745,205722166040.08698,5110,0.14041,0.11244,0.16950,0.15122,Information,-0.26444,0.08177,0.00047,0.03291,0.16570,0.13447,0.04112,0.06316,0.05611,corporate,0.00135,0.01047,0.00754,0.18154,0.20358,0.19652,0.75755,0.73740,0.74299
19,19,Motion picture and sound recording industries,20.76147,275276618185.14124,5120,0.10233,0.10380,0.15630,0.13950,Information,-0.33549,0.03047,-0.05536,-0.02143,0.11910,0.08613,0.03894,0.05982,0.05314,corporate,-0.00083,0.00712,0.00458,0.14127,0.16215,0.15547,0.90643,0.90171,0.90302
20,20,Broadcasting and telecommunications,17.19061,1290507877813.33496,5130,0.07035,0.10392,0.15661,0.13974,Information,-0.33446,0.03173,-0.05415,-0.02065,0.12023,0.08717,0.03897,0.05990,0.05320,corporate,-0.00080,0.00720,0.00464,0.10931,0.13025,0.12354,0.91292,0.90465,0.90694
21,21,Information and data processing services,13.10574,118194411065.61374,5140,0.21016,0.10594,0.15978,0.14254,Information,-0.31714,0.04455,-0.04029,-0.00739,0.13188,0.09917,0.03948,0.06070,0.05391,corporate,-0.00029,0.00801,0.00535,0.24964,0.27086,0.26406,0.88144,0.86742,0.87131
22,22,Management of companies and enterprises,44.32188,424413435043.75659,5500,0.07542,0.12872,0.19460,0.17346,Management of companies and enterprises,-0.14931,0.16568,0.09161,0.12097,0.24195,0.21339,0.04524,0.06952,0.06174,corporate,0.00547,0.01682,0.01317,0.12067,0.14494,0.13716,0.46401,0.41428,0.42807
23,23,"Food, beverage, and tobacco products",42.79805,382744557828.22290,311A,0.06063,0.12397,0.18618,0.16625,Manufacturing,-0.18066,0.13931,0.06396,0.09699,0.21798,0.18945,0.04404,0.06739,0.05991,corporate,0.00427,0.01469,0.01135,0.10467,0.12802,0.12054,0.54553,0.51851,0.52600
24,24,Textile mills and textile product mills,37.17402,39763433350.66293,313T,0.05621,0.12642,0.18997,0.16959,Manufacturing,-0.16428,0.15137,0.07698,0.10952,0.22894,0.20072,0.04466,0.06835,0.06076,corporate,0.00489,0.01565,0.01220,0.10088,0.12456,0.11697,0.56036,0.51575,0.52812
25,25,Apparel and leather and allied products,56.66281,23802489967.04707,315A,0.03920,0.13328,0.19968,0.17840,Manufacturing,-0.12067,0.18085,0.10967,0.14287,0.25572,0.22903,0.04640,0.07080,0.06299,corporate,0.00663,0.01811,0.01443,0.08560,0.11000,0.10219,0.37636,0.34144,0.35112
26,26,Wood products,48.66972,45996624948.89117,3210,0.04991,0.12813,0.19257,0.17192,Manufacturing,-0.15311,0.15950,0.08587,0.11806,0.23632,0.20842,0.04510,0.06901,0.06135,corporate,0.00532,0.01631,0.01279,0.09501,0.11892,0.11126,0.46695,0.43399,0.44313
27,27,Paper products,32.30789,129541595783.70657,3220,0.07437,0.11798,0.17737,0.15835,Manufacturing,-0.22273,0.10985,0.03161,0.06481,0.19121,0.16144,0.04253,0.06516,0.05791,corporate,0.00276,0.01246,0.00935,0.11690,0.13953,0.13228,0.66768,0.64354,0.65024
28,28,Printing and related support activities,27.31311,49933189821.85918,3230,0.08738,0.11734,0.17648,0.15753,Manufacturing,-0.22743,0.10674,0.02813,0.06122,0.18839,0.15842,0.04236,0.06493,0.05770,corporate,0.00259,0.01223,0.00914,0.12975,0.15231,0.14509,0.70411,0.67447,0.68269
29,29,Petroleum and coal products,59.57314,329428164622.01349,3240,0.04248,0.12696,0.19128,0.17068,Manufacturing,-0.16069,0.15548,0.08117,0.11226,0.23267,0.20435,0.04480,0.06868,0.06103,corporate,0.00503,0.01598,0.01247,0.08728,0.11116,0.10351,0.39609,0.38096,0.38516
30,30,Chemical products,25.25661,863500170455.36816,3250,0.08141,0.11219,0.16868,0.15059,Manufacturing,-0.26638,0.07873,-0.00237,0.03143,0.16294,0.13201,0.04106,0.06296,0.05595,corporate,0.00129,0.01026,0.00739,0.12247,0.14436,0.13735,0.75755,0.74391,0.74769
31,31,Plastics and rubber products,35.77905,110331312312.70663,3260,0.07510,0.11968,0.17969,0.16047,Manufacturing,-0.21050,0.11779,0.04051,0.07417,0.19843,0.16914,0.04296,0.06574,0.05845,corporate,0.00319,0.01305,0.00989,0.11806,0.14085,0.13355,0.63110,0.60828,0.61461
