,Y,asset_name,assets,bea_asset_code,delta,eatr_d,eatr_e,eatr_mix,major_asset_group,metr_d,metr_e,metr_mix,mettr_d,mettr_e,mettr_mix,minor_asset_group,rho_d,rho_e,rho_mix,tax_treat,tax_wedge_d,tax_wedge_e,tax_wedge_mix,ucc_d,ucc_e,ucc_mix,z_d,z_e,z_mix
0,0.00000,Prepackaged software,0.00000,ENS1,0.00000,0.50666,0.55795,0.54148,Equipment,1.05084,0.70868,0.78743,0.80372,0.64390,0.68187,Computers and Software,0.12094,0.14109,0.13463,corporate,0.12094,0.14109,0.13463,0.12094,0.14109,0.13463,-0.03173,-0.05161,-0.04538
1,0.00000,Custom software,0.00000,ENS2,0.00000,0.34533,0.39203,0.37700,Equipment,0.90162,0.60821,0.67492,0.68959,0.55262,0.58444,Computers and Software,0.07130,0.09004,0.08402,corporate,0.07130,0.09004,0.08402,0.07130,0.09004,0.08402,-0.03173,-0.05161,-0.04538
2,0.00000,Mainframes,0.00000,EP1A,0.00000,0.44845,0.50126,0.48432,Equipment,1.00914,0.68070,0.75599,0.77182,0.61848,0.65464,Computers and Software,0.10303,0.12365,0.11704,corporate,0.10303,0.12365,0.11704,0.10303,0.12365,0.11704,-0.04214,-0.06750,-0.05963
3,0.00000,PCs,0.00000,EP1B,0.00000,0.44845,0.50126,0.48432,Equipment,1.00914,0.68070,0.75599,0.77182,0.61848,0.65464,Computers and Software,0.10303,0.12365,0.11704,corporate,0.10303,0.12365,0.11704,0.10303,0.12365,0.11704,-0.04214,-0.06750,-0.05963
4,0.00000,DASDs,0.00000,EP1C,0.00000,0.44845,0.50126,0.48432,Equipment,1.00914,0.68070,0.75599,0.77182,0.61848,0.65464,Computers and Software,0.10303,0.12365,0.11704,corporate,0.10303,0.12365,0.11704,0.10303,0.12365,0.11704,-0.04214,-0.06750,-0.05963
5,0.00000,Printers,0.00000,EP1D,0.00000,0.44845,0.50126,0.48432,Equipment,1.00914,0.68070,0.75599,0.77182,0.61848,0.65464,Computers and Software,0.10303,0.12365,0.11704,corporate,0.10303,0.12365,0.11704,0.10303,0.12365,0.11704,-0.04214,-0.06750,-0.05963
6,0.00000,Terminals,0.00000,EP1E,0.00000,0.44845,0.50126,0.48432,Equipment,1.00914,0.68070,0.75599,0.77182,0.61848,0.65464,Computers and Software,0.10303,0.12365,0.11704,corporate,0.10303,0.12365,0.11704,0.10303,0.12365,0.11704,-0.04214,-0.06750,-0.05963
7,0.00000,Tape drives,0.00000,EP1F,0.00000,0.44845,0.50126,0.48432,Equipment,1.00914,0.68070,0.75599,0.77182,0.61848,0.65464,Computers and Software,0.10303,0.12365,0.11704,corporate,0.10303,0.12365,0.11704,0.10303,0.12365,0.11704,-0.04214,-0.06750,-0.05963
8,0.00000,Storage devices,0.00000,EP1G,0.00000,0.44845,0.50126,0.48432,Equipment,1.00914,0.68070,0.75599,0.77182,0.61848,0.65464,Computers and Software,0.10303,0.12365,0.11704,corporate,0.10303,0.12365,0.11704,0.10303,0.12365,0.11704,-0.04214,-0.06750,-0.05963
9,0.00000,System integrators,0.00000,EP1H,0.00000,0.44845,0.50126,0.48432,Equipment,1.00914,0.68070,0.75599,0.77182,0.61848,0.65464,Computers and Software,0.10303,0.12365,0.11704,corporate,0.10303,0.12365,0.11704,0.10303,0.12365,0.11704,-0.04214,-0.06750,-0.05963
